Probe	GeneID	MOCK_1	MOCK_2	MOCK_3	TATCRE.1	TATCRE_2	TATCRE_3
rzxm95_u8OOfeaXdes	JKAMP	10.2071414582495	10.0309891579749	9.90859277457117	10.2715006257531	10.1235234521663	10.229904813339
lUk.1f.tfM7f54P_4k	ALDH6A1	8.88529594732272	8.35801855151175	8.81062598291456	8.85390984994239	8.77054088929578	8.76314890458576
WV7Qf7sqG7iozKtXeE	VIPAS39	8.11918721587045	7.9400285868636	8.00470540263957	7.88304390374467	7.78785598705468	7.93319236656228
Qt3l98pLkeE_xIbu7E	FANCM	8.8721966701608	8.59212619150771	8.84878497701991	8.64400070587864	8.83835110273866	8.69033202830288
6qtUSkN8qa7gHfelzQ	TECPR2	8.0485571447306	8.2189629715707	8.39564962183167	8.25023652799362	8.48455486607845	8.42619554200124
NeVCwkhHCqcSL3.v5I	TDP1	8.49971466487684	8.24970803061069	8.59921210471022	8.42223068022451	8.40555556772464	8.28715321201612
ZdUjfyu3vruCc5deQg	ADI1	9.52746396330895	9.98269884106131	10.1185231537852	9.64268797429293	9.67142622875857	9.37472356995132
idtrDVeiiAR3lipB6M	DNAL1	7.51608213668454	7.73404995235008	7.7013510204775	7.71434465219529	7.69529497761658	7.60293969258666
cJW2fIKBAbh7Q7nk14	RDH14	9.09877161839006	9.4014179207005	9.69080698875873	9.87689920556912	9.64778639766848	9.94166347457706
obV6.3STX6SpSJJH74	PELO	9.76312508960754	10.3424686692129	10.25855122634	10.3040034920419	10.290250584055	10.3346603570276
6Rc5LTvqou1Q7xdBFE	IARS	11.7075659277486	11.4208488230702	11.0983545583903	10.9207162243593	11.2750377938434	10.7847060839386
T_qle9fkTfEvF0.9U4	RNF44	11.653601441009	11.3709503352949	11.4593516227675	11.8440985847824	11.6992954914756	11.6860705145012
KokimVZSXvOBvzzw0Y	TXNDC5	10.8647043078829	11.7188305808228	10.9097170828528	10.8791670650515	11.1323624645459	11.2258493624202
